Thinking enabled,GPU execution,Latency mode,Skipped segments,ASR degraded segments,Q,Method,Memory nodes,Retrieval queries,Qwen calls,Embed ms,Dense ms,Sparse ms,StreamMeCo/Mandol ms,Graph lookup ms,Rerank ms,Retrieval total ms,Qwen answer/controller ms,End-to-end ms,Answer,Correct
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,8,C,1391,1,1,260.0667490041815,130.3367159998743,0.0,1.2631889985641465,1.4176989934640005,0.0,393.95699700980913,261.23630099755246,656.0168790019816,D,True
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,8,D,1786,1,1,755.5214870080817,6.050985000911169,17.412233995855786,0.5524689913727343,1.6830587846925482,1660.5895399989095,2433.8199449994136,1030.2136749960482,3465.3977359994315,A,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,9,A,1844,4,6,1423.9004209957784,733.7791959726019,0.0,7.83865901757963,18.130051001207903,0.0,2188.223694000044,87352.68214000098,89544.47699399316,A,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,9,B,1844,1,1,283.08483299042564,184.51779600582086,0.0,1.8575080030132085,2.345105996937491,0.0,472.9113060020609,270.5403089930769,743.9912019908661,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,9,C,1435,1,1,265.1218160026474,140.03976801177487,0.0,1.322759999311529,1.510164001956582,0.0,408.9347289991565,255.70951199915726,665.157868003007,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,9,D,1844,1,1,634.2424519971246,6.316145998425782,19.329721995745786,0.4852129932260141,2.114707851433195,1632.444407994626,2284.897217003163,1029.6116280078422,3315.81081499462,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,10,A,2039,4,6,1360.9979459870374,829.2257560096914,0.0,9.12896398222074,8.24911700328812,0.0,2212.6173039869172,47143.35144999495,49360.34418300551,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,10,B,2039,1,1,348.53767399908975,212.8803789964877,0.0,2.1912759984843433,2.4434520018985495,0.0,567.27486399177,256.79135299287736,824.6451470040483,B,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,10,C,1591,1,1,3607.622033014195,153.5720259998925,0.0,1.4430779992835596,1.7220130102941766,0.0,3765.290343988454,309.417634998681,4075.1790850044927,C,False
False,concurrent with Gemini; contention possible,warm_retrieval_uncached_question,3,2,10,D,2039,1,1,644.9783639982343,5.8296100032748654,24.487135000526905,0.8101450075628236,2.34076393826399,1735.7572040054947,2408.323437994113,1038.9249089930672,3448.8503520115046,B,False
